# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_nonrib_100k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
69,-233381.6692,33.40388802,0,0,0.01887,1.006992737e-08,2.823347165e-06
52,-233381.9464,33.6810214,0,1e-05,0.01493,4.573429489e-09,9.493936342e-06
47,-233382.4866,34.2212741,0,0,0.01738,9.023864e-08,9.813251917e-05
38,-233382.4869,34.221588,0,0,0.0174,9.010347171e-08,0.0001027394762
91,-233383.084,34.81863112,0,0,0.01913,9.205652157e-10,5.393716129e-06
18,-233383.2139,34.94853208,0,0,0.01731,3.761422427e-06,7.548773843e-05
72,-233383.5399,35.27454339,0,1e-05,0.0198,7.170360201e-08,3.068342479e-05
74,-233384.0308,35.76547821,0,0,0.01259,1.626029869e-08,2.745062853e-09
64,-233385.3264,37.06105186,0,0,0.00795,3.888695982e-09,7.657483088e-07
25,-233385.4345,37.16919194,0,0,0.00804,2.995289575e-09,4.300982239e-06
26,-233385.7763,37.51099185,0,0,0.0069,1.156166605e-09,0.0002932626232
77,-233386.155,37.8896845,0,0,0.00977,2.670544051e-08,2.970447579e-07
67,-233386.6466,38.38128724,0,0,0.00634,2.513103887e-09,1.836075118e-44
76,-233386.6928,38.42742568,0,0,0.00814,6.080273535e-09,6.002361198e-08
73,-233387.7621,39.49678415,0,0,0.00603,1.472959024e-09,3.484989861e-05
5,-233387.8415,39.57614243,0,0,0.0046,1.390928021e-09,3.169378992e-54
39,-233389.4317,41.16640355,0,0,0.00406,4.921171856e-09,2.840377864e-05
40,-233389.4321,41.16672373,0,0,0.00404,4.9224381e-09,2.838252083e-05
10,-233389.5893,41.3239232,0,0,0.00304,6.898118528e-10,2.179924483e-06
54,-233391.5106,43.24520876,0,0,0.00219,1.099708567e-10,3.58965337e-06
27,-233392.5129,44.24757956,0,0,0.00134,5.220736189e-11,4.65846435e-36
48,-233392.542,44.27666353,0,0,0.00177,9.14564379e-10,1.023102899e-05
30,-233393.0891,44.8237666,0,0,0.00109,1.267687353e-11,6.034367672e-06
23,-233393.2915,45.02617533,0,0,0.00195,8.041738731e-09,1.541053276e-06
20,-233393.3641,45.09872213,0,0,0.00161,1.481410684e-09,0.0001610958306
51,-233394.0005,45.73518067,0,0,0.00121,8.744824331e-09,1.371714944e-72
19,-233395.8896,47.62423195,0,0,0.00087,8.078885099e-11,2.241115325e-05
59,-233396.3658,48.10041341,0,0,0.00062,2.097761283e-11,1.133253654e-06
12,-233397.202,48.9366249,0,0,0.00061,1.296356422e-10,3.173752761e-31
32,-233397.8798,49.61450644,0,0,0.00037,2.397263537e-12,1.179640585e-34
31,-233397.9412,49.67583702,0,0,0.00046,1.946435364e-11,5.041453161e-35
118,-233398.6147,50.34936314,0,0,0.00079,3.892385757e-12,1.302403514e-47
