# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_simion.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
19,-13629483.02,708.9759058,0,0,0,2.067712524e-257,4.457648952e-95
133,-13629488.81,714.7686911,0,0,0,3.566569228e-268,1.231415856e-84
11,-13629490.86,716.8181279,0,0,0,9.035439747e-264,2.636769593e-65
14,-13629496.48,722.4402306,0,0,0,1.928237697e-264,3.122216071e-69
48,-13629511.92,737.8793945,0,0,0,1.597280373e-269,7.898330563e-35
118,-13629515.04,741.0030792,0,0,0,4.271748285e-271,2.163887456e-29
21,-13629517.08,743.0428972,0,0,0,5.332127744e-256,6.876640055e-109
128,-13629519.95,745.9112901,0,0,0,2.493895216e-275,1.323921558e-06
119,-13629520.41,746.3710203,0,0,0,5.345726925e-275,8.85920442e-46
109,-13629523.67,749.6269173,0,0,0,5.871783207e-280,0.000950401285
113,-13629523.73,749.6894684,0,0,0,6.24584943e-268,6.102777767e-06
28,-13629527.38,753.3414109,0,0,0,9.555568732e-258,4.624723177e-62
138,-13629534.01,759.9725096,0,0,0,2.99926221e-277,1.179517145e-29
9,-13629539.87,765.8272873,0,0,0,2.518887581e-283,1.978133752e-47
137,-13629547.98,773.936069,0,0,0,3.319570743e-289,1.637628118e-06
34,-13629548.49,774.451708,0,0,0,1.605097713e-288,3.496388459e-05
110,-13629554.14,780.1046202,0,0,0,1.910792235e-288,7.37108297e-46
37,-13629562.4,788.3560939,0,0,0,9.429820213e-300,2.021480915e-26
41,-13629579.54,805.5052879,0,0,0,2.381094022e-300,0.0002255256339
126,-13629589.95,815.9071155,0,0,0,3.273013404e-306,2.4808465e-92
74,-13629592.05,818.0133398,0,0,0,1.906250354e-300,0.002723889902
44,-13629592.08,818.0369222,0,0,0,2.295375761e-303,4.153798871e-06
91,-13629594.23,820.1897891,0,0,0,5.935037906e-301,0.001943001612
22,-13629604.54,830.4971299,0,0,0,1.131175139e-295,7.001981281e-72
127,-13629615.18,841.1439113,0,0,0,3.147828117e-315,2.39916492e-51
139,-13629616.09,842.0535657,0,0,0,3.132270011e-310,2.973541718e-28
75,-13629632.72,858.6769214,0,0,0,1.908993075e-317,7.239030808e-05
13,-13629634,859.9585318,0,0,0,4.907059994e-320,5.53886579e-43
12,-13629639.21,865.1720825,0,0,0,1.062241139e-321,9.984540568e-66
90,-13629638.98,864.9372312,0,0,0,7.406044031e-321,2.076413981e-05
140,-13629644.54,870.5009378,0,0,0,3.359646392e-322,5.886214789e-72
15,-13629649.48,875.4416964,0,0,0,9.881312917e-324,7.447860215e-12
24,-13629658.42,884.3801185,0,0,0,5.659670193e-319,1.227700979e-102
18,-13629675.29,901.2508479,0,0,0,0,6.479633805e-17
43,-13629679.36,905.3167201,0,0,0,0,2.888675388e-06
87,-13629687.73,913.6927551,0,0,0,0,1.273886634e-35
30,-13629710.11,936.0711927,0,0,0,0,7.171297405e-54
123,-13629711.73,937.6922641,0,0,0,0,1.527711037e-47
76,-13629712.67,938.6318283,0,0,0,0,6.12094296e-06
45,-13629715.03,940.9941959,0,0,0,0,1.651367288e-44
36,-13629723.98,949.9440503,0,0,0,0,0.0001091455438
46,-13629725.5,951.4630261,0,0,0,0,4.806361387e-34
23,-13629727.69,953.6538257,0,0,0,0,1.272443327e-90
122,-13629735.23,961.1914528,0,0,0,0,5.675887537e-24
27,-13629739.4,965.3613898,0,0,0,0,9.471622371e-43
29,-13629742.74,968.7007361,0,0,0,0,5.431923356e-55
42,-13629744.82,970.7833475,0,0,0,0,9.451788154e-39
38,-13629746.9,972.8602508,0,0,0,0,0.001805955501
16,-13629751.18,977.1454839,0,0,0,0,1.223200434e-68
35,-13629755.69,981.6476603,0,0,0,0,0.0009622096755
39,-13629761.94,987.9053149,0,0,0,0,0.001113133508
77,-13629788.68,1014.638275,0,0,0,0,1.004897507e-05
26,-13629793.28,1019.244227,0,0,0,0,3.413319665e-54
25,-13629796.16,1022.122983,0,0,0,0,3.185039925e-43
17,-13629800.34,1026.299403,0,0,0,0,2.672978668e-71
92,-13629824.76,1050.721342,0,0,0,0,2.57124488e-06
93,-13629830.15,1056.109229,0,0,0,0,0.001713303935
81,-13629838.33,1064.290429,0,0,0,0,1.883159164e-102
