# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
74,-233385.1659,35.73897008,0,0,0.009,6.338466601e-11,0.0009496433083
25,-233386.2894,36.86245276,0,0,0.009,2.519956946e-10,0.02813320379
64,-233386.5049,37.07794223,0,0,0.003,2.312277824e-10,3.069496068e-82
26,-233386.6239,37.1969963,0,0,0.007,4.58093154e-11,0.007289925731
77,-233387.2727,37.8458043,0,0,0.006,3.472455538e-10,0.007889195389
67,-233387.8088,38.38190333,0,0,0,6.137768138e-11,1.479354075e-62
76,-233387.8215,38.39454466,0,0,0.007,9.288606444e-11,0.003946494522
73,-233388.9007,39.4738164,0,0,0.004,3.50592637e-10,0.002079055499
5,-233388.9688,39.5418403,0,0,0.005,4.55555888e-11,5.052756736e-60
39,-233390.5941,41.16716128,0,0,0.004,6.189459944e-09,0.0004513172362
40,-233390.5944,41.16745365,0,0,0.004,6.206304256e-09,0.0004516065269
10,-233390.7098,41.28286566,0,0,0.003,1.513697431e-11,2.376894604e-46
54,-233392.3459,42.91895918,0,0,0.003,2.447094514e-12,1.664983143e-70
27,-233393.3437,43.91673266,0,0,0,2.851690744e-13,0.01001751412
48,-233393.6939,44.26696154,0,0,0,3.946557423e-12,2.061267324e-60
30,-233393.9618,44.5348749,0,0,0,3.608997479e-14,0.004526594829
23,-233394.3567,44.92981151,0,0,0.003,8.647307564e-10,0.0002049758926
20,-233394.4786,45.05171684,0,0,0.002,6.858863642e-12,0.0001257102685
51,-233395.1677,45.74079636,0,0,0,9.03155043e-14,8.376846922e-32
19,-233396.9305,47.50353449,0,0,0,2.041696341e-12,1.78493834e-50
59,-233397.1475,47.7205339,0,0,0,6.056454138e-14,2.45271954e-89
12,-233398.3743,48.94739365,0,0,0,6.341298961e-15,0.005261976818
32,-233398.7988,49.37192527,0,0,0,7.615903144e-15,3.142579731e-06
31,-233398.8972,49.47023686,0,0,0,3.321655487e-14,8.187849523e-45
118,-233399.9097,50.48281881,0,0,0.001,1.162804871e-13,0.001897467234
6,-233400.0761,50.64915995,0,0,0,3.038417088e-14,8.607212174e-38
11,-233400.5664,51.13951514,0,0,0,2.04290198e-15,9.856343942e-52
29,-233401.0126,51.58569987,0,0,0,7.609822266e-13,0.004588583656
56,-233401.088,51.66104193,0,0,0.001,3.011104666e-15,0.0008868804463
9,-233401.1023,51.6753692,0,0,0,1.331589971e-14,0.001820856531
28,-233401.9724,52.54550727,0,0,0,1.509295173e-14,0.0109089421
50,-233402.2171,52.79018695,0,0,0,2.455590326e-13,5.555922096e-95
44,-233402.6602,53.23326255,0,0,0,1.169244965e-14,0.001175038771
41,-233402.7529,53.3260191,0,0,0,2.15819616e-14,0.0009259720328
49,-233403.2197,53.79275368,0,0,0,8.386879022e-14,8.261375671e-70
55,-233403.4931,54.0662034,0,0,0.001,3.086979776e-15,2.286440153e-06
46,-233403.8829,54.45595818,0,0,0,7.702419716e-16,0.004310249254
42,-233403.9053,54.47835349,0,0,0,1.112234794e-14,4.384132708e-06
43,-233404.0988,54.67191877,0,0,0,6.382753256e-15,8.762316367e-05
8,-233405.0731,55.64620405,0,0,0,5.281222671e-15,3.719255881e-107
7,-233405.1451,55.71820169,0,0,0,8.151205658e-15,0.0003116057915
45,-233406.4737,57.04677034,0,0,0,7.147209397e-17,0.000826883741
57,-233408.3491,58.92214159,0,0,0,4.209118395e-17,7.364475816e-66
85,-233409.037,59.61008791,0,0,0.002,2.928778041e-15,2.37558006e-56
22,-233411.0274,61.60049462,0,0,0,7.602069718e-17,5.695341043e-05
21,-233412.4671,63.04018874,0,0,0,3.002805092e-17,0.0001792145564
65,-233414.9409,65.51398774,0,0,0,4.343689999e-20,2.843226572e-54
66,-233414.9409,65.51399364,0,0,0,4.343805975e-20,3.973915349e-193
58,-233421.9323,72.50535986,0,0,0,7.186793836e-22,1.426572131e-94

