# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_laumer_100k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
71,-4142942.566,162.8456371,0,0,0,6.847295147e-35,1.108369131e-08
35,-4142943.882,164.1617437,0,0,0,7.868771489e-49,3.493556996e-07
16,-4142944.883,165.1630898,0,0,0,2.42861869e-48,2.831964385e-35
40,-4142945.844,166.1239895,0,0,0,2.492151494e-43,5.36971426e-07
43,-4142946.37,166.6501368,0,0,0,1.01418619e-43,3.783769203e-54
54,-4142951.295,171.5748342,0,0,0,1.077404903e-54,6.839549158e-57
101,-4142952.319,172.599165,0,0,0,5.135070889e-47,8.772254771e-11
74,-4142956.77,177.049679,0,0,0,2.672426364e-42,3.300778712e-06
90,-4142960.662,180.9424895,0,0,0,4.301211625e-54,2.150274107e-09
38,-4142963.233,183.5134068,0,0,0,2.356901589e-57,2.660063425e-45
34,-4142973.56,193.8402177,0,0,0,1.345933153e-60,1.924327112e-46
73,-4142975.306,195.5856373,0,0,0,1.027449706e-49,1.989590088e-46
69,-4142975.913,196.1931094,0,0,0,2.693071439e-49,2.828712978e-41
70,-4142990.357,210.6373382,0,0,0,4.604066064e-58,1.100630436e-63
45,-4142993.973,214.2531825,0,0,0,8.82035308e-63,1.768065703e-05
44,-4142999.355,219.6351932,0,0,0,7.336077558e-64,6.817457767e-06
53,-4142999.776,220.0564897,0,0,0,2.583703937e-73,1.151896373e-54
48,-4143005.475,225.7552473,0,0,0,2.975370996e-72,2.635254453e-57
57,-4143006.649,226.9289537,0,0,0,2.157523541e-66,1.163823061e-06
36,-4143008.632,228.9116761,0,0,0,3.564589244e-68,2.703798855e-67
56,-4143009.683,229.9632919,0,0,0,1.04254807e-73,1.689956594e-07
