T1,T2,T3,T4,t1_t2,t1_t3,t1_t4,t2_t3,t2_t4,t3_t4
-14815.5,-14815.7,-14815.6,-14815.7,0.2000000000007276,0.1000000000003638,0.2000000000007276,-0.1000000000003638,0,0.1000000000003638
-16999.1,-16999,-16999,-16999,-0.09999999999854481,-0.09999999999854481,-0.09999999999854481,0,0,0
-10818.2,-10818.2,-10818.1,-10818.1,0,-0.1000000000003638,-0.1000000000003638,-0.1000000000003638,-0.1000000000003638,0
-18371.6,-18371,-18371.4,-18371,-0.5999999999985448,-0.19999999999708962,-0.5999999999985448,0.4000000000014552,0,-0.4000000000014552
-15076.2,-15076.1,-15076.1,-15076,-0.1000000000003638,-0.1000000000003638,-0.2000000000007276,0,-0.1000000000003638,-0.1000000000003638
-7520.17,-7519.9,-7520.05,-7519.8,-0.27000000000043656,-0.11999999999989086,-0.36999999999989086,0.1500000000005457,-0.0999999999994543,-0.25
-8378.49,-8378.55,-8378.39,-8378.35,0.05999999999949068,-0.1000000000003638,-0.13999999999941792,-0.15999999999985448,-0.1999999999989086,-0.039999999999054126
-7500.58,-7500.59,-7500.52,-7500.47,0.010000000000218279,-0.05999999999949068,-0.10999999999967258,-0.06999999999970896,-0.11999999999989086,-0.0500000000001819
-12361.9,-12362.2,-12362.1,-12362.1,0.3000000000010914,0.2000000000007276,0.2000000000007276,-0.1000000000003638,-0.1000000000003638,0
-15035.7,-15035.6,-15035.8,-15035.8,-0.1000000000003638,0.09999999999854481,0.09999999999854481,0.1999999999989086,0.1999999999989086,0
-12636.8,-12637.1,-12636.9,-12637,0.3000000000010914,0.1000000000003638,0.2000000000007276,-0.2000000000007276,-0.1000000000003638,0.1000000000003638
-6841.19,-6841.68,-6841.38,-6841.63,0.4900000000006912,0.19000000000050932,0.4400000000005093,-0.3000000000001819,-0.0500000000001819,0.25
-5374.32,-5374.53,-5374.49,-5374.57,0.21000000000003638,0.17000000000007276,0.25,-0.03999999999996362,0.03999999999996362,0.07999999999992724
-12313.5,-12313.7,-12313.5,-12313.6,0.2000000000007276,0,0.1000000000003638,-0.2000000000007276,-0.1000000000003638,0.1000000000003638
-10324.9,-10324.8,-10324.9,-10324.9,-0.1000000000003638,0,0,0.1000000000003638,0.1000000000003638,0
-16256.8,-16256.8,-16256.9,-16256.9,0,0.1000000000003638,0.1000000000003638,0.1000000000003638,0.1000000000003638,0
-14083.8,-14083.6,-14083.7,-14083.7,-0.1999999999989086,-0.09999999999854481,-0.09999999999854481,0.1000000000003638,0.1000000000003638,0
-15207.3,-15207.2,-15207.2,-15207.2,-0.09999999999854481,-0.09999999999854481,-0.09999999999854481,0,0,0
-8428.98,-8429.29,-8429.1,-8429.2,0.3100000000013097,0.12000000000080036,0.22000000000116415,-0.19000000000050932,-0.09000000000014552,0.1000000000003638
-13805.1,-13805.4,-13805.3,-13805.3,0.2999999999992724,0.1999999999989086,0.1999999999989086,-0.1000000000003638,-0.1000000000003638,0
-18253.5,-18253.9,-18253.6,-18254,0.4000000000014552,0.09999999999854481,0.5,-0.3000000000029104,0.09999999999854481,0.4000000000014552
-14453.2,-14452.2,-14452.5,-14452.3,-1,-0.7000000000007276,-0.9000000000014552,0.2999999999992724,0.09999999999854481,-0.2000000000007276
-19178.4,-19178.4,-19178.4,-19178.3,0,0,-0.10000000000218279,0,-0.10000000000218279,-0.10000000000218279
-7794.33,-7794.17,-7794.26,-7794.17,-0.15999999999985448,-0.06999999999970896,-0.15999999999985448,0.09000000000014552,0,-0.09000000000014552
-17855.8,-17855.6,-17855.7,-17855.7,-0.2000000000007276,-0.09999999999854481,-0.09999999999854481,0.10000000000218279,0.10000000000218279,0
-8150.5,-8150.01,-8150.18,-8149.95,-0.4899999999997817,-0.31999999999970896,-0.5500000000001819,0.17000000000007276,-0.06000000000040018,-0.23000000000047294
-12168.8,-12168.9,-12168.9,-12168.9,0.1000000000003638,0.1000000000003638,0.1000000000003638,0,0,0
-13510.7,-13510.6,-13510.4,-13510.4,-0.1000000000003638,-0.3000000000010914,-0.3000000000010914,-0.2000000000007276,-0.2000000000007276,0
-4605.61,-4605.53,-4605.63,-4605.69,-0.07999999999992724,0.020000000000436557,0.07999999999992724,0.1000000000003638,0.15999999999985448,0.05999999999949068
-6368.02,-6367.98,-6367.94,-6367.93,-0.040000000000873115,-0.08000000000083674,-0.09000000000014552,-0.03999999999996362,-0.049999999999272404,-0.009999999999308784
-1715.46,-1715.44,-1715.43,-1715.41,-0.01999999999998181,-0.029999999999972715,-0.049999999999954525,-0.009999999999990905,-0.029999999999972715,-0.01999999999998181
-15438.4,-15438.3,-15438.3,-15438.4,-0.1000000000003638,-0.1000000000003638,0,0,0.1000000000003638,0.1000000000003638
-10994.6,-10994.8,-10994.6,-10994.7,0.1999999999989086,0,0.1000000000003638,-0.1999999999989086,-0.09999999999854481,0.1000000000003638
-29517.3,-29517,-29517.3,-29516.9,-0.2999999999992724,0,-0.3999999999978172,0.2999999999992724,-0.09999999999854481,-0.3999999999978172
-2588.16,-2588.12,-2588.18,-2588.2,-0.03999999999996362,0.01999999999998181,0.03999999999996362,0.05999999999994543,0.07999999999992724,0.01999999999998181
-10927,-10927.1,-10927.1,-10927,0.1000000000003638,0.1000000000003638,0,0,-0.1000000000003638,-0.1000000000003638
-3718.02,-3718.17,-3718.03,-3718.03,0.15000000000009095,0.010000000000218279,0.010000000000218279,-0.13999999999987267,-0.13999999999987267,0
-9394.2,-9394,-9394,-9394.03,-0.2000000000007276,-0.2000000000007276,-0.17000000000007276,0,0.030000000000654836,0.030000000000654836
-19099.4,-19099.1,-19099.2,-19098.7,-0.3000000000029104,-0.2000000000007276,-0.7000000000007276,0.10000000000218279,-0.3999999999978172,-0.5
-25866.5,-25867.1,-25866.5,-25867.1,0.5999999999985448,0,0.5999999999985448,-0.5999999999985448,0,0.5999999999985448
-12142.5,-12142.9,-12142.6,-12143,0.3999999999996362,0.1000000000003638,0.5,-0.2999999999992724,0.1000000000003638,0.3999999999996362
-3936.46,-3936.58,-3936.67,-3936.61,0.11999999999989086,0.21000000000003638,0.15000000000009095,0.09000000000014552,0.03000000000020009,-0.05999999999994543
-14141.9,-14141.4,-14141.7,-14141.7,-0.5,-0.1999999999989086,-0.1999999999989086,0.3000000000010914,0.3000000000010914,0
-14137.3,-14136.9,-14137.1,-14136.8,-0.3999999999996362,-0.1999999999989086,-0.5,0.2000000000007276,-0.1000000000003638,-0.3000000000010914
-16899.6,-16900.1,-16899.8,-16899.8,0.5,0.2000000000007276,0.2000000000007276,-0.2999999999992724,-0.2999999999992724,0
-7948.85,-7948.97,-7948.87,-7949.01,0.11999999999989086,0.019999999999527063,0.15999999999985448,-0.1000000000003638,0.03999999999996362,0.14000000000032742
-16100.7,-16100.7,-16100.7,-16100.8,0,0,0.09999999999854481,0,0.09999999999854481,0.09999999999854481
-20795.8,-20795.8,-20795.7,-20795.8,0,-0.09999999999854481,0,-0.09999999999854481,0,0.09999999999854481
-9471.22,-9470.85,-9471.19,-9471.07,-0.36999999999898137,-0.029999999998835847,-0.1499999999996362,0.3400000000001455,0.21999999999934516,-0.12000000000080036
-10742,-10742.1,-10742.1,-10742.1,0.1000000000003638,0.1000000000003638,0.1000000000003638,0,0,0
-11230.2,-11229.6,-11229.8,-11229.7,-0.6000000000003638,-0.4000000000014552,-0.5,0.1999999999989086,0.1000000000003638,-0.09999999999854481
-5609.81,-5609.78,-5609.82,-5609.82,-0.030000000000654836,0.009999999999308784,0.009999999999308784,0.03999999999996362,0.03999999999996362,0
-8312.86,-8312.77,-8312.8,-8312.83,-0.09000000000014552,-0.06000000000130967,-0.030000000000654836,0.029999999998835847,0.05999999999949068,0.030000000000654836
-10983.8,-10983.6,-10983.8,-10983.8,-0.1999999999989086,0,0,0.1999999999989086,0.1999999999989086,0
-14479.8,-14479.6,-14479.8,-14479.9,-0.1999999999989086,0,0.1000000000003638,0.1999999999989086,0.2999999999992724,0.1000000000003638
-9069.05,-9068.95,-9069.08,-9069.17,-0.09999999999854481,0.030000000000654836,0.12000000000080036,0.12999999999919964,0.21999999999934516,0.09000000000014552
-21576.4,-21576.3,-21576.4,-21576.4,-0.10000000000218279,0,0,0.10000000000218279,0.10000000000218279,0
-6753.85,-6753.79,-6753.77,-6753.76,-0.06000000000040018,-0.07999999999992724,-0.09000000000014552,-0.019999999999527063,-0.02999999999974534,-0.010000000000218279
-9321.92,-9321.98,-9321.86,-9321.87,0.05999999999949068,-0.05999999999949068,-0.049999999999272404,-0.11999999999898137,-0.10999999999876309,0.010000000000218279
