# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('TOP_simion_100k.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
125,-13629473.74,699.7121056,0,0,0,7.760840609e-242,9.258988129e-06
112,-13629482.45,708.4234938,0,0,0,4.779798414e-247,1.720874262e-63
19,-13629483,708.9710601,0,0,0,1.19865493e-240,3.067905011e-06
133,-13629488.8,714.771213,0,0,0,1.322704235e-246,1.711836665e-10
11,-13629490.84,716.8145232,0,0,0,6.968710593e-246,6.085290987e-53
14,-13629496.46,722.437162,0,0,0,2.153481204e-243,7.958297577e-61
48,-13629511.9,737.8777201,0,0,0,1.021013419e-259,1.090680984e-06
118,-13629515.03,741.0063558,0,0,0,1.678409196e-256,3.324396691e-07
21,-13629517.07,743.0404138,0,0,0,7.453493528e-251,2.29879104e-56
128,-13629519.94,745.9143483,0,0,0,1.088651817e-254,3.074850643e-07
119,-13629520.4,746.3727816,0,0,0,8.770941487e-258,1.028674767e-09
109,-13629523.65,749.6255928,0,0,0,6.439859815e-271,5.00110889e-08
113,-13629523.71,749.6834953,0,0,0,1.10993811e-264,7.436498831e-99
28,-13629527.36,753.3382274,0,0,0,6.781759323e-254,5.463049749e-63
138,-13629534,759.9740312,0,0,0,1.291095527e-256,1.765192714e-105
9,-13629539.85,765.8249689,0,0,0,4.737997036e-264,2.069667084e-120
137,-13629547.96,773.9377974,0,0,0,4.142133286e-258,3.565114e-32
34,-13629548.48,774.4495437,0,0,0,2.537407277e-278,1.045361436e-29
110,-13629554.13,780.1043638,0,0,0,1.83748163e-288,9.318503122e-48
37,-13629562.38,788.3547875,0,0,0,7.30699707e-274,0.0002371257663
41,-13629579.53,805.5042588,0,0,0,2.865722703e-286,1.149402336e-06
126,-13629589.94,815.909391,0,0,0,3.907948244e-286,1.287496758e-07
74,-13629592.04,818.011922,0,0,0,2.113454105e-269,3.366547274e-118
44,-13629592.06,818.0342135,0,0,0,1.336719466e-291,0.0004038560141
91,-13629594.21,820.1884061,0,0,0,8.083464691e-271,9.98304303e-117
22,-13629604.52,830.4938463,0,0,0,1.00952978e-286,1.337664797e-80
127,-13629615.17,841.146126,0,0,0,1.320632417e-294,3.002804454e-07
139,-13629616.08,842.0541151,0,0,0,5.638333844e-291,4.574384152e-73
75,-13629632.7,858.6756021,0,0,0,1.862584996e-281,1.879205073e-11
13,-13629633.98,859.954696,0,0,0,5.872906427e-305,9.532286094e-54
12,-13629639.2,865.1693935,0,0,0,2.104323173e-303,6.130728402e-67
90,-13629638.96,864.9357106,0,0,0,7.473209257e-286,6.242543463e-11
140,-13629644.53,870.5020313,0,0,0,1.554399053e-303,1.248480673e-91
15,-13629649.47,875.4393772,0,0,0,6.927190989e-306,4.055258897e-46
24,-13629658.4,884.3765122,0,0,0,9.457887254e-303,9.060717332e-68
18,-13629675.28,901.2488982,0,0,0,1.515166784e-313,5.355350432e-43
43,-13629679.34,905.3142625,0,0,0,0,6.20208033e-06
87,-13629687.72,913.6923114,0,0,0,4.404915121e-297,1.1636378e-100
30,-13629710.1,936.0694592,0,0,0,0,1.750685636e-43
123,-13629711.72,937.6953211,0,0,0,0,3.115150387e-08
76,-13629712.66,938.6317049,0,0,0,6.021158811e-307,1.226553151e-65
45,-13629715.02,940.9925137,0,0,0,0,1.21992331e-05
36,-13629723.97,949.9422804,0,0,0,0,2.541193455e-52
46,-13629725.49,951.46179,0,0,0,0,2.757241758e-08
23,-13629727.68,953.6507306,0,0,0,0,4.216755686e-62
122,-13629735.22,961.1942737,0,0,0,0,5.953568613e-55
27,-13629739.39,965.3592016,0,0,0,0,1.546585859e-85
29,-13629742.72,968.6981657,0,0,0,0,2.119136326e-88
42,-13629744.81,970.7798348,0,0,0,0,7.190739421e-05
38,-13629746.89,972.8589915,0,0,0,0,0.02359202091
16,-13629751.17,977.1425501,0,0,0,0,2.237455114e-09
35,-13629755.67,981.6446029,0,0,0,0,1.309063351e-54
39,-13629761.93,987.9031205,0,0,0,0,0.0002398320922
77,-13629788.67,1014.639047,0,0,0,0,5.235833431e-62
26,-13629793.27,1019.241572,0,0,0,0,9.099231606e-73
25,-13629796.15,1022.119441,0,0,0,0,2.125868043e-52
17,-13629800.32,1026.296151,0,0,0,0,6.57841665e-97
92,-13629824.75,1050.720644,0,0,0,0,1.451309682e-08
93,-13629830.13,1056.108561,0,0,0,0,3.519319052e-09
81,-13629838.32,1064.291198,0,0,0,0,1.317102371e-56
89,-13629849.09,1075.061428,0,0,0,0,6.522163539e-41
